framenr,roinr,mx,my,count
1704,2,11,35,2
1704,0,26,48,0
1704,7,16,30,2
1704,9,29,2,1
1704,8,26,22,4
1704,6,50,24,2
1704,4,33,18,3
1704,3,23,15,5
1704,5,50,17,2
1704,1,1,2,2
1760,2,8,49,3
1760,0,30,44,0
1760,11,40,19,1
1760,7,18,23,3
1760,9,19,17,4
1760,10,26,21,2
1760,8,20,12,1
1760,6,16,29,2
1760,4,11,34,1
1760,3,5,36,1
1760,5,13,17,2
1760,13,50,24,1
1760,12,9,50,3
1760,1,2,10,1
306,2,10,37,3
306,0,2,1,0
306,11,41,30,0
306,7,29,8,1
306,9,36,24,1
306,10,38,18,1
306,8,32,15,2
306,6,25,28,1
306,4,22,24,3
306,3,13,32,3
306,5,22,18,3
306,1,8,48,1
1316,2,10,42,3
1316,0,36,42,0
1316,7,41,19,2
1316,9,6,11,2
1316,8,50,24,1
1316,6,42,14,2
1316,4,16,41,2
1316,3,18,18,4
1316,5,38,16,2
1316,1,10,15,4
1090,2,12,34,2
1090,0,1,7,0
1090,11,41,19,0
1090,7,25,19,3
1090,9,30,18,1
1090,10,36,1,4
1090,8,31,1,4
1090,6,23,28,2
1090,4,20,17,2
1090,3,17,29,2
1090,5,20,22,3
1090,13,50,31,1
1090,12,48,25,0
1090,1,8,50,0
2111,2,11,15,2
2111,0,33,47,0
2111,7,36,18,1
2111,9,45,20,2
2111,10,50,24,3
2111,8,40,19,3
2111,6,22,19,3
2111,4,13,31,3
2111,3,11,37,3
2111,5,18,32,2
2111,1,1,10,1
1333,2,8,12,1
1333,0,45,43,0
1333,11,50,23,2
1333,7,25,50,0
1333,9,29,18,2
1333,10,33,1,1
1333,8,27,2,1
1333,6,22,21,2
1333,4,11,36,3
1333,3,8,43,3
1333,5,13,50,1
1333,12,26,22,2
1333,1,1,6,3
29,2,12,34,5
29,0,29,45,0
29,11,16,30,6
29,7,45,21,6
29,9,7,50,4
29,10,9,50,4
29,8,1,9,1
29,6,31,12,2
29,4,22,25,3
29,3,18,17,3
29,5,25,13,4
29,1,8,46,3
2381,2,3,11,1
2381,0,34,48,0
2381,11,25,29,1
2381,7,22,9,1
2381,9,22,18,3
2381,10,23,24,3
2381,8,22,13,2
2381,6,15,39,1
2381,4,11,39,1
2381,3,9,30,2
2381,5,15,29,4
2381,12,28,25,1
2381,1,1,19,0
1671,2,3,46,3
1671,0,47,48,0
1671,11,45,21,3
1671,7,30,13,3
1671,9,35,25,3
1671,10,35,31,0
1671,8,32,18,2
1671,6,24,14,2
1671,4,20,8,1
1671,3,8,48,2
1671,5,20,13,1
1671,13,50,26,4
1671,14,10,40,2
1671,15,32,1,1
1671,12,49,27,4
1671,1,1,7,1
1131,2,1,15,1
1131,0,1,44,0
1131,11,31,1,1
1131,7,22,13,1
1131,9,48,21,1
1131,10,50,17,1
1131,8,34,18,1
1131,6,18,24,2
1131,4,9,12,1
1131,3,3,12,1
1131,5,14,29,2
1131,1,1,2,1
2126,2,1,43,1
2126,0,28,49,0
2126,16,50,28,2
2126,11,36,1,1
2126,7,20,12,1
2126,9,30,1,1
2126,10,31,1,1
2126,8,21,17,1
2126,6,9,40,1
2126,4,5,40,1
2126,3,5,6,0
2126,5,8,47,2
2126,13,40,19,1
2126,14,42,26,2
2126,15,47,22,2
2126,12,36,1,1
2126,1,1,28,0
74,7,50,24,1
74,4,12,34,1
74,2,8,46,2
74,3,10,14,1
74,0,30,48,0
74,5,28,19,1
74,6,38,18,2
74,1,1,7,2
1662,2,9,50,1
1662,0,1,9,0
1662,11,50,16,0
1662,7,27,21,3
1662,9,31,18,5
1662,10,40,19,2
1662,8,29,9,1
1662,6,26,14,4
1662,4,14,31,3
1662,3,15,25,2
1662,5,21,11,1
1662,1,8,31,3
1265,2,8,32,1
1265,0,37,46,0
1265,11,30,24,3
1265,7,16,43,2
1265,9,29,1,1
1265,10,30,5,1
1265,8,27,18,2
1265,6,14,31,1
1265,4,10,41,3
1265,3,10,17,1
1265,5,14,15,1
1265,13,37,19,1
1265,14,31,1,1
1265,12,35,1,1
1265,1,8,48,5
905,2,11,39,3
905,0,31,40,0
905,11,6,50,3
905,7,27,18,2
905,9,40,19,4
905,10,50,24,2
905,8,32,11,2
905,6,28,9,1
905,4,17,25,2
905,3,15,15,1
905,5,23,17,3
905,13,50,31,2
905,12,31,1,1
905,1,8,45,3
2376,2,15,16,2
2376,0,29,46,0
2376,7,40,19,3
2376,9,50,24,2
2376,8,44,25,3
2376,6,34,19,3
2376,4,23,15,2
2376,3,15,29,1
2376,5,28,20,3
2376,1,10,39,2
176,2,15,28,5
176,0,31,49,0
176,7,45,20,2
176,9,8,47,4
176,10,9,13,1
176,8,7,50,2
176,6,35,19,2
176,4,19,26,5
176,3,15,34,4
176,5,28,6,2
176,1,9,41,3
1469,2,14,32,3
1469,0,38,47,0
1469,11,34,12,2
1469,7,28,28,2
1469,9,31,1,1
1469,10,33,1,1
1469,8,28,18,5
1469,6,28,3,1
1469,4,19,32,3
1469,3,21,22,6
1469,5,19,36,1
1469,13,36,15,1
1469,12,36,19,1
1469,1,5,11,1
2308,2,15,29,2
2308,0,3,1,0
2308,7,38,19,2
2308,9,50,23,1
2308,8,16,16,4
2308,6,30,1,2
2308,4,21,17,6
2308,3,17,25,4
2308,5,25,22,5
2308,1,9,42,2
892,4,22,17,1
